id,cmpdname,smiles_component,smiles_normalized,mw,mf,polararea,complexity,Category,Reason,Category_renormalized,Reason_renormalized
6581,Acrylic acid,C=CC(=O)O,C=CC(=O)O,72.06,C3H4O2,37.3,55.9,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
13165,2-Hydroxyethyl acrylate,C=CC(=O)OCCO,C=CC(=O)OCCO,116.11,C5H8O3,46.5,87.7,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
5355130,Octinoxate,CCCCC(CC)COC(=O)/C=C/C1=CC=C(C=C1)OC,CCCCC(CC)COC(=O)/C=C/C1=CC=C(C=C1)OC,290.4,C18H26O3,35.5,304.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
8846,Butyl Acrylate,CCCCOC(=O)C=C,CCCCOC(=O)C=C,128.169,C7H12O2,26.3,97.1,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
8821,Ethyl acrylate,CCOC(=O)C=C,CCOC(=O)C=C,100.12,C5H8O2,26.3,76.1,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
7294,Methyl acrylate,COC(=O)C=C,COC(=O)C=C,86.09,C4H6O2,26.3,65.9,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
736715,Urocanic acid,C1=C(NC=N1)/C=C/C(=O)O,C1=C(NC=N1)/C=C/C(=O)O,138.12,C6H6N2O2,66.0,156.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
637542,p-Coumaric acid,C1=CC(=CC=C1/C=C/C(=O)O)O,C1=CC(=CC=C1/C=C/C(=O)O)O,164.16,C9H8O3,57.5,178.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
6658,Methyl methacrylate,CC(=C)C(=O)OC,C=CC(=O)OC,100.12,C5H8O2,26.3,94.3,Methacrylate,Found Methacrylate moiety,Acrylate,Found Acrylate moiety
81530,Ethyl 2-cyanoacrylate,CCOC(=O)C(=C)C#N,C=CC(=O)OCC,125.13,C6H7NO2,50.1,175.0,Alpha-Substituted Acrylate,Found Alpha-Substituted Acrylate moiety,Acrylate,Found Acrylate moiety
7837,Glycidyl methacrylate,CC(=C)C(=O)OCC1CO1,C=CC(=O)OCC1CO1,142.15,C7H10O3,38.8,162.0,Methacrylate,Found Methacrylate moiety,Acrylate,Found Acrylate moiety
7636,2-Ethylhexyl acrylate,CCCCC(CC)COC(=O)C=C,CCCCC(CC)COC(=O)C=C,184.27,C11H20O2,26.3,152.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
11285653,Picoxystrobin,CO/C=C(\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC,CO/C=C(\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC,367.3,C18H16F3NO4,57.6,495.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
699414,trans-4-Methoxycinnamic acid,COC1=CC=C(C=C1)/C=C/C(=O)O,COC1=CC=C(C=C1)/C=C/C(=O)O,178.18,C10H10O3,46.5,190.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
22571,Octocrylene,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,361.5,C24H27NO2,50.1,510.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
7819,Isobutyl acrylate,CC(C)COC(=O)C=C,CC(C)COC(=O)C=C,128.169,C7H12O2,26.3,106.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
61249,2-Hydroxypropyl acrylate,CC(COC(=O)C=C)O,CC(COC(=O)C=C)O,130.139,C6H10O3,46.5,109.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
4068533,Sodium acrylate,C=CC(=O)[O-],C=CC(=O)[O-],94.04,C3H3NaO2,40.1,59.8,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
4068533,Sodium acrylate,[Na+],[Na+],94.04,C3H3NaO2,40.1,59.8,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
10234,Binapacryl,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])OC(=O)C=C(C)C,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])OC(=O)C=C(C)C,322.31,C15H18N2O6,118.0,489.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
5320686,Tiliroside,C1=CC(=CC=C1/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O,C1=CC(=CC=C1/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O,594.5,C30H26O13,213.0,1040.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
5281800,Verbascoside,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,624.6,C29H36O15,245.0,936.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
5367785,Geranyl tiglate,C/C=C(\C)/C(=O)OC/C=C(\C)/CCC=C(C)C,C/C=C(\C)/C(=O)OC/C=C(\C)/CCC=C(C)C,236.35,C15H24O2,26.3,329.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
637541,3'-Hydroxycinnamic acid,C1=CC(=CC(=C1)O)/C=C/C(=O)O,C1=CC(=CC(=C1)O)/C=C/C(=O)O,164.16,C9H8O3,57.5,186.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
165746,Isooctyl acrylate,CC(C)CCCCCOC(=O)C=C,CC(C)CCCCCOC(=O)C=C,184.27,C11H20O2,26.3,150.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
14899,Isodecyl acrylate,CC(C)CCCCCCCOC(=O)C=C,CC(C)CCCCCCCOC(=O)C=C,212.33,C13H24O2,26.3,173.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
16541,Decyl acrylate,CCCCCCCCCCOC(=O)C=C,CCCCCCCCCCOC(=O)C=C,212.33,C13H24O2,26.3,164.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
25644,"1,6-Hexanediol diacrylate",C=CC(=O)OCCCCCCOC(=O)C=C,C=CC(=O)OCCCCCCOC(=O)C=C,226.27,C12H18O4,52.6,219.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
19042,Pentaerythritol triacrylate,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,298.29,C14H18O7,99.1,365.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
1549789,Amiloxate,CC(C)CCOC(=O)/C=C/C1=CC=C(C=C1)OC,CC(C)CCOC(=O)/C=C/C1=CC=C(C=C1)OC,248.32,C15H20O3,35.5,263.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
5375048,3-Indoleacrylic acid,C1=CC=C2C(=C1)C(=CN2)/C=C/C(=O)O,C1=CC=C2C(=C1)C(=CN2)/C=C/C(=O)O,187.19,C11H9NO2,53.1,250.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
5281771,Echinacoside,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,786.7,C35H46O20,324.0,1230.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
15284,Silux,CC(=C)C(=O)OCC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)OCC(COC(=O)C(=C)C)O)O,C=CC(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C=C)cc2)cc1,512.6,C29H36O8,112.0,698.0,Methacrylate,Found Methacrylate moiety,Acrylate,Found Acrylate moiety
5373773,Cinoxate,CCOCCOC(=O)/C=C/C1=CC=C(C=C1)OC,CCOCCOC(=O)/C=C/C1=CC=C(C=C1)OC,250.29,C14H18O4,44.8,255.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
15458,tert-Butyl acrylate,CC(C)(C)OC(=O)C=C,CC(C)(C)OC(=O)C=C,128.169,C7H12O2,26.3,119.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
7825,2-Cyanoethyl acrylate,C=CC(=O)OCCC#N,C=CC(=O)OCCC#N,125.13,C6H7NO2,50.1,154.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
5357283,Methyl ferulate,COC1=C(C=CC(=C1)/C=C/C(=O)OC)O,COC1=C(C=CC(=C1)/C=C/C(=O)OC)O,208.21,C11H12O4,55.8,237.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
5317238,Ethyl caffeate,CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O,CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O,208.21,C11H12O4,66.8,237.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
5281787,Caffeic acid phenethyl ester,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O,284.31,C17H16O4,66.8,347.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
5281783,Ethyl p-methoxycinnamate,CCOC(=O)/C=C/C1=CC=C(C=C1)OC,CCOC(=O)/C=C/C1=CC=C(C=C1)OC,206.24,C12H14O3,35.5,215.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
28803,Tetraethylene glycol diacrylate,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,302.32,C14H22O7,80.3,284.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
39485,2-Phenoxyethyl acrylate,C=CC(=O)OCCOC1=CC=CC=C1,C=CC(=O)OCCOC1=CC=CC=C1,192.21,C11H12O3,35.5,183.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
