Unnamed: 0,id,cmpdname,smiles,mw,mf,polararea,complexity,vdw_volume
0,6581,Acrylic acid,C=CC(=O)O,72.06,C3H4O2,37.3,55.9,65.11385625278537
1,13165,2-Hydroxyethyl acrylate,C=CC(=O)OCCO,116.11,C5H8O3,46.5,87.7,105.3701897784856
2,8846,Butyl Acrylate,CCCCOC(=O)C=C,128.169,C7H12O2,26.3,97.1,131.95578384110252
3,8821,Ethyl acrylate,CCOC(=O)C=C,100.12,C5H8O2,26.3,76.1,100.84876363406715
4,7294,Methyl acrylate,COC(=O)C=C,86.09,C4H6O2,26.3,65.9,84.9462993507064
5,6658,Methyl methacrylate,C=CC(=O)OC,100.12,C5H8O2,26.3,94.3,85.04453984247027
6,81530,Ethyl 2-cyanoacrylate,C=CC(=O)OCC,125.13,C6H7NO2,50.1,175.0,100.66069581230158
7,7837,Glycidyl methacrylate,C=CC(=O)OCC1CO1,142.15,C7H10O3,38.8,162.0,118.86156106076258
8,7636,2-Ethylhexyl acrylate,CCCCC(CC)COC(=O)C=C,184.27,C11H20O2,26.3,152.0,195.13176039232735
9,7819,Isobutyl acrylate,CC(C)COC(=O)C=C,128.169,C7H12O2,26.3,106.0,131.95771236718625
10,61249,2-Hydroxypropyl acrylate,CC(COC(=O)C=C)O,130.139,C6H10O3,46.5,109.0,121.20664283371094
11,165746,Isooctyl acrylate,CC(C)CCCCCOC(=O)C=C,184.27,C11H20O2,26.3,150.0,195.1140713585648
12,14899,Isodecyl acrylate,CC(C)CCCCCCCOC(=O)C=C,212.33,C13H24O2,26.3,173.0,226.3395020169848
13,16541,Decyl acrylate,CCCCCCCCCCOC(=O)C=C,212.33,C13H24O2,26.3,164.0,226.03498602903636
14,25644,"1,6-Hexanediol diacrylate",C=CC(=O)OCCCCCCOC(=O)C=C,226.27,C12H18O4,52.6,219.0,220.99863593915583
15,19042,Pentaerythritol triacrylate,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,298.29,C14H18O7,99.1,365.0,267.5202664828881
16,15284,Silux,C=CC(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C=C)cc2)cc1,512.6,C29H36O8,112.0,698.0,448.4029478252136
17,15458,tert-Butyl acrylate,CC(C)(C)OC(=O)C=C,128.169,C7H12O2,26.3,119.0,132.01157767399602
18,7825,2-Cyanoethyl acrylate,C=CC(=O)OCCC#N,125.13,C6H7NO2,50.1,154.0,119.98122134965891
19,28803,Tetraethylene glycol diacrylate,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,302.32,C14H22O7,80.3,284.0,277.53688804395995
20,39485,2-Phenoxyethyl acrylate,C=CC(=O)OCCOC1=CC=CC=C1,192.21,C11H12O3,35.5,183.0,186.5338245596488
21,17050,2-(Diethylamino)ethyl acrylate,CCN(CC)CCOC(=O)C=C,171.24,C9H17NO2,29.5,142.0,175.70983045805085
22,17259,Hexyl acrylate,CCCCCCOC(=O)C=C,156.22,C9H16O2,26.3,119.0,163.835653747027
