id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type
17,,C=CC(=O)Oc1ccccc1,,0,87.3977164928,47.4172771926,104.92724576,79.91407981513333,monomer
7,,C=CC(=O)OCC(C)(CO)CO,,0,85.6497066147,87.3854554183,52.4925191253,75.17589371943333,monomer
13,,C=CC(=O)OCCCCBr,,0,72.472505897,66.9504534208,77.2901467875,72.23770203510001,monomer
3,,C=CC(=O)OCC(C)CC,,0,66.8208547337,72.0209450866,74.8299534344,71.22391775156666,monomer
24,,C=CC(=O)OCCCCO,,0,74.5088812092,48.2407672224,96.8839958198,73.21121475046666,monomer
12,,C=CC(=O)OCCCC=CC,,0,121.135081297,55.9404285884,70.5255476536,82.53368584633334,monomer
21,,C=CC(=O)OCCS(C)(=O)=O,,0,59.3248358482,78.2674391849,86.6022839446,74.73151965923334,monomer
6,,C=CC(=O)OC1CCO1,,0,65.659616335,46.1264426555,53.2751287754,55.02039592196667,monomer
8,,C=CC(=O)OCc1ccccc1O,,0,77.0253457199,57.1724200684,124.639148404,86.27897139743334,monomer
28,,C=CC(=O)Oc1cccc(-c2c(Br)cccc2Br)c1,,0,111.458999949,152.339686524,191.02674204,151.60847617100001,monomer
15,,C=CC(=O)Oc1ccc(Nc2cccc3c2Cc2ccccc2-3)cc1,,0,244.922129524,171.181291882,126.311749845,180.80505708366666,monomer
26,,C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(C)(F)F,,0,91.8005370258,62.1388033621,62.8804825946,72.2732743275,monomer
14,,C=CC(=O)OCC(C)C,,0,61.9482103503,50.8406796338,81.189531123,64.65947370236667,monomer
25,,C=CC(=O)OCCCN=C=O,,0,113.344400589,52.2858971167,53.4735508827,73.03461619613333,monomer
9,,C=CC(=O)OCC,,0,39.0660600021,50.7029314486,47.1484134914,45.639134980700004,monomer
18,,C=CC(=O)OC(C)(C)CCC,,0,66.0717202353,92.5181774393,76.5369792131,78.37562562923334,monomer
20,,C=CC(=O)Oc1ccc(OC)cc1,,0,67.6256860012,123.693154881,69.5898083818,86.96954975466666,monomer
22,,C=CC(=O)OCCCC,,0,84.1485603411,46.7451240417,49.208154889,60.03394642393333,monomer
1,,C=CC(=O)OC12CC3CC(CC(C3)C1)C2,,0,117.785317765,83.9510526715,92.6841797825,98.14018340633333,monomer
16,,C=CC(=O)Oc1cccc(O)c1,,0,59.3907764724,103.491322046,77.5857211105,80.15593987630001,monomer
19,,C=CC(=O)OCC#N,,0,52.3394089906,53.0537029199,33.9926673623,46.46192642426667,monomer
10,,C=CC(=O)OCc1cccs1,,0,55.3052820063,73.6595204482,109.845622329,79.60347492783332,monomer
11,,C=CC(=O)OCc1ccncc1,,0,51.8152011985,73.2323862214,108.974558296,78.00738190529999,monomer
27,,C=CC(=O)Oc1cccnc1,,0,53.8647087611,102.731454133,75.0592881775,77.21848369053333,monomer
4,,C=CC(=O)OC1CC2CC1C1CCCC21,,0,104.89293364,106.855418554,108.81790333,106.85541855426668,monomer
29,,C=CC(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0,74.6301833013,126.494957045,83.8280289794,94.98438977523334,monomer
5,,C=CC(=O)OC(C)C#N,,0,49.7120905857,60.7125202143,55.4794526411,55.30135448036666,monomer
2,,C=CC(=O)OCCCCCO,,0,73.6677064341,43.4609554843,102.446224377,73.19162876513333,monomer
23,,C=CC(=O)OCC(F)(F)C(F)(F)F,,0,79.5982755528,27.3134671367,59.3160224447,55.40925504473333,monomer
0,,C=CC(=O)OCC(F)(F)CF,,0,39.6917643501,59.8391855135,55.0315993717,51.5208497451,monomer
