mape,r2,mse
4.0614,0.97492,0.00072
3.96253,0.975,0.00071
4.12281,0.97409,0.00074
4.07538,0.97475,0.00072
4.0358,0.97489,0.00072
4.08108,0.97463,0.00072
4.05244,0.97525,0.00071
4.0639,0.97497,0.00071
4.03507,0.97461,0.00072
4.15282,0.97432,0.00073
4.08147,0.97447,0.00073
4.08925,0.97485,0.00072
4.0651,0.97447,0.00073
4.04525,0.97439,0.00073
4.07336,0.97438,0.00073
4.12188,0.97482,0.00072
4.06899,0.97406,0.00074
4.06867,0.97369,0.00075
4.02452,0.97468,0.00072
4.15075,0.97451,0.00073
3.98538,0.97502,0.00071
3.9954,0.97511,0.00071
4.02921,0.97455,0.00073
4.12226,0.97453,0.00073
4.08269,0.97415,0.00074
4.09869,0.97454,0.00073
4.10362,0.97401,0.00074
3.96896,0.97482,0.00072
4.07456,0.97496,0.00071
4.04437,0.97442,0.00073
4.0028,0.97477,0.00072
4.03996,0.97406,0.00074
4.13589,0.97435,0.00073
4.07936,0.97426,0.00073
4.02282,0.97486,0.00072
4.12632,0.97413,0.00074
3.96118,0.97489,0.00072
4.0765,0.97409,0.00074
3.97014,0.97495,0.00071
4.05106,0.97488,0.00072
3.99189,0.97451,0.00073
4.03812,0.97452,0.00073
4.11199,0.97439,0.00073
4.05549,0.97489,0.00072
4.07493,0.97448,0.00073
4.15309,0.97463,0.00072
4.04685,0.97513,0.00071
4.10431,0.97451,0.00073
4.06223,0.97427,0.00073
3.99976,0.9748,0.00072
4.06466,0.97541,0.0007
4.08075,0.97507,0.00071
4.00081,0.97511,0.00071
3.96446,0.97537,0.0007
3.9948,0.97468,0.00072
4.13336,0.97388,0.00074
4.16061,0.97424,0.00073
4.01898,0.97414,0.00074
4.09124,0.97479,0.00072
4.09829,0.97474,0.00072
4.04899,0.97487,0.00072
4.03367,0.97457,0.00073
4.03944,0.97486,0.00072
4.0946,0.97446,0.00073
3.99385,0.97489,0.00072
3.97208,0.97494,0.00071
4.08966,0.97439,0.00073
4.021,0.97449,0.00073
4.15149,0.97425,0.00073
4.03702,0.97514,0.00071
4.01053,0.97504,0.00071
4.05033,0.97443,0.00073
4.03389,0.97487,0.00072
4.12049,0.97432,0.00073
4.08482,0.97432,0.00073
4.08664,0.97442,0.00073
4.12407,0.97396,0.00074
4.21528,0.97454,0.00073
4.13115,0.97376,0.00075
4.06924,0.97458,0.00072
4.11385,0.97428,0.00073
4.06934,0.97444,0.00073
4.04863,0.97493,0.00071
4.0654,0.9749,0.00072
4.09892,0.9745,0.00073
3.97275,0.97514,0.00071
4.02934,0.97447,0.00073
4.06101,0.97472,0.00072
4.10627,0.97431,0.00073
4.06916,0.97418,0.00074
4.05264,0.97466,0.00072
4.08254,0.97478,0.00072
3.95352,0.97455,0.00073
4.14476,0.97443,0.00073
4.03653,0.97452,0.00073
4.04952,0.97479,0.00072
4.03471,0.97435,0.00073
4.06433,0.97496,0.00071
4.05274,0.97449,0.00073
4.06527,0.97433,0.00073
