selfies,polarizability
[C][=C][C][=Branch1][C][=O][O][C][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],0.20517532266434002
[C][C][N][C][=C][Branch2][Ring1][=N][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][O][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch1][Ring1][=Branch2][F][/C][=C][/C][=Branch1][C][=O][O][C][O][C][C][C][=Branch1][C][=O][N][C],0.22530846718118636
[C][C][C][C][C][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C][C],0.14791627977102012
[C][C][Branch2][Ring1][Branch1][C][C][C][C][Ring1][Branch1][Branch1][N][C][C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][C],0.10243880619396073
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch2][Ring1][Branch2][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][O][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][F][O][C],0.21973306072089993
[C][=C][C][C][=N][N][=N][N][Ring1][Branch1][O][C][=Branch1][C][=O][C][=C],0.06553952472789132
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch2][Ring1][#Branch2][=C][Branch1][Branch1][N][=C][Ring1][=Branch1][N][C@@H1][C][C][N][Branch1][Ring2][C][Ring1][Branch1][C][=N][C][=C][C][=N][Ring1][=Branch1][Cl],0.2687639900069143
[C][C][C][C][C][=C][Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2][/C][=C][/C][=Branch1][C][=O][O][C],0.17050032121248246
[C][C][=Branch1][C][=O][N][C][=N][C][=Branch2][Ring1][#Branch2][=C][Branch1][Ring2][S][Ring1][Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C],0.35348192176022886
[C][N][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C][=C],0.05070698995709715
[C][O][C][=C][C][=Branch1][S][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C][N+1][=Branch1][C][=O][O-1],0.13771402662134358
[C][C][C][C][C][C][O][C][=Branch1][C][=O][C][=C],0.06457705794574431
[C][C][O][C][=Branch1][C][=O][/C][=Branch2][Ring1][N][=C][/C][=C][Branch1][#C][N][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][/C][#N],0.2513601450000246
[C][C][O][C][=Branch1][C][=O][/C][=C][Branch1][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][\N],0.12537731970034574
[C][N][Branch1][#Branch2][C][C][O][C][=Branch1][C][=O][C][=C][S][=Branch1][C][=O][=Branch1][C][=O][C][C][Branch2][Ring2][#Branch1][C][Branch2][Ring1][#C][C][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F],0.1560385220195849
[C][=C][C][=Branch1][C][=O][O][C][Branch2][=Branch1][Branch2][C][Branch2][Branch1][S][C][Branch2][Branch1][Branch2][C][Branch2][Ring2][S][C][Branch2][Ring2][Branch2][C][Branch2][Ring1][S][C][Branch2][Ring1][Branch2][C][Branch1][P][C][Branch1][#Branch2][C][Branch1][Ring1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][F],0.1325674448837448
[C][C][O][C][=Branch1][C][=O][/C][=Branch1][#Branch1][=C][\N][Branch1][C][C][C][/C][=Branch1][C][=O][C][=C][Branch1][#Branch1][C][=C][C][=N][Ring1][=Branch1][Cl],0.1585957680425673
[C][O][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][=Branch2][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C],0.25582713833572535
[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][O][Ring1][Branch1],0.09042290201940567
[C][O][C][C@@H1][Branch2][Ring1][=Branch2][C@H1][Ring1][Branch1][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O],0.2875403211330595
[C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][S][C][=Branch1][Ring2][=N][Ring1][Branch2][N][C][C][Branch1][Ring2][C][Ring1][Ring2][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][S][Ring1][Branch1],0.2559546835066729
[C][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][\N][/N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=N][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][Cl],0.17886249208461408
[C][C][O][C][=Branch1][C][=O][/C][=Branch1][=C][=C][/C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#N][/C][#N],0.15056348712491316
[C][=C][C][=Branch1][C][=O][O][C][C][Br],0.035614788628853346
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][N][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Ring1][=Branch2][C@@H1][C][C][N][Branch1][Ring2][C][Ring1][Branch1][C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],0.3486755473073666
[C][=C][Branch2][#Branch1][Branch2][C][C][N][C][S][=Branch1][C][=O][=Branch1][C][=O][C][C][Branch2][=Branch1][#Branch1][C][Branch2][Branch1][#C][C][Branch2][Branch1][#Branch1][C][Branch2][Ring2][#C][C][Branch2][Ring2][#Branch1][C][Branch2][Ring1][#C][C][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][F][C][=Branch1][C][=O][O-1],0.2142719873640609
[C][=C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch2][Ring1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][=C][N][=C][C][=C][Ring1][=Branch1][Br],0.2222822875759609
[C][C][O][C][=Branch1][C][=O][/C][=Branch1][P][=C][\N][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][F][/C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C],0.23881964459223903
[C][C][C][C][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][Branch1][=Branch2][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],0.18814529447602016
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0.19999942706166973
[C][=C][C][=Branch2][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C@@H1][C@H1][Branch2][Branch1][Ring2][C@@H1][Branch2][Ring2][#C][C@H1][Branch2][Ring2][=Branch2][O][C@H1][Ring1][=Branch1][O][C][=C][Branch2][Ring1][Ring2][O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O][O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][O][O][O],0.3973392676478926
[C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=C][C][Branch1][S][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][O],0.11679918580891185
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][N][Branch1][#Branch2][C][=Branch1][C][=O][N][=C][Ring1][#Branch1][N][C@H1][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][Branch1][C][O][O][F],0.18346768221030044
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][Cl],0.14646772468550642
[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][N][=C][N][Ring1][Branch1].[Cl-1],0.13066561164802176
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch2][Ring1][O][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][I][O][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][O][C],0.2864334228566613
[C][=C][C][=Branch1][C][=O][O][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],0.13968991640108086
[C][O][C][=Branch1][C][=O][/C][=C][/C][=C][N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],0.143279071771206
[C][=C][C][=Branch1][C][=O][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O],0.03973239713745918
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][Branch2][Ring1][#Branch1][C][=C][Branch1][Branch1][N][Ring1][Branch1][C][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][Ring1][=Branch2][=O][O][C][C][=O],0.21002533592701556
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][Branch1][P][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][N],0.1283524394833805
[C][O][C][=C][Branch1][P][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C][O][C][C][Branch2][Ring1][Branch1][C][N][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][N+1][=Branch1][C][=O][O-1][O],0.25974207878763306
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=N][N][Ring1][Branch1][C][C][C][=O],0.2269423532062434
[C][C][O][C][=Branch1][C][=O][/C][=Branch1][#Branch2][=C][\C][=C][N][=C][C][=C][Ring1][=Branch1][/C][#N],0.1100726177670788
[C][=C][C][=Branch2][Ring2][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][/C][=C][/C][=C][Branch1][P][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][Cl][Cl],0.1951719918629233
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][=C],0.30258444553345215
[C][=C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl],0.2393667200048784
[C][C][=C][C][=Branch2][Ring1][Branch2][=N][C][=C][Ring1][=Branch1][C][=Branch1][#C][=C][Branch1][Ring2][S][Ring1][Branch1][/C][=C][/C][=Branch1][C][=O][O][C][N][C],0.1880472184807918
[C][O][C][=C][Branch2][Ring1][Ring2][C][=Branch1][S][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C][I][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Br],0.24046619886769544
[C][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][Branch1][P][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C][O][C],0.2352487598420655
[C][S][C][C][C][S][C][C][C][O][C][=Branch1][C][=O][C][=C],0.10460695616451668
