smiles_A,static_polarizability,static_polarizability_pred,static_polarizability_original,static_polarizability_pred_original,error
C=CC(=O)O,0.0,0.01220984,27.82067921669,34.05463,0.22407616342850412
C=CC(=O)OCCC(=O)O,0.02512562814070352,0.041351855,40.649014683498464,48.933605,0.20380790469581728
C=CC(=O)OCC(C)C,0.03015075376884422,0.029022675,43.214681776860154,42.63872,0.013327885040775788
C=CC(=O)OCCCN=C=O,0.07537688442211056,0.056205582,66.30568561711539,56.517437,0.1476230664808568
C=CC(=O)OCCCN,0.08040201005025126,0.07542597,68.87135271047708,66.33074,0.03688922502848377
C=CC(=O)OCCCCOC=C,0.08542713567839195,0.10604247,71.43701980383877,81.96255,0.14733995801210237
C=CC(=O)OCCNCCO,0.09045226130653267,0.12533581,74.00268689720048,91.8131,0.24067255625067394
C=CC(=O)OCCCCC,0.10050251256281408,0.10469727,79.13402108392386,81.27573,0.027064279119143726
C=CC(=O)Oc1ccc(O)cc1,0.10552763819095477,0.07895368,81.69968817728554,68.13188,0.16606925639638517
C=CC(=O)OCC1CC(C)CC(C)C1,0.11557788944723618,0.088371865,86.83102236400893,72.940506,0.1599718165741784
C=CC(=O)Oc1ccccc1,0.12060301507537688,0.09112338,89.39668945737063,74.34534,0.16836588283826168
C=CC(=O)OCCCCOc1ccccc1,0.12562814070351758,0.1416966,91.96235655073231,100.16639,0.08921077299790435
C=CC(=O)OCCCCCCCCCCCC,0.1306532663316583,0.17008936,94.52802364409402,114.66282,0.21300345112901745
C=CC(=O)OC1C=CC(C=O)C([O-])(O)C1[N+],0.135678391959799,0.15440017,97.0936907374557,106.65243,0.09844858984433147
C=CC(=O)OC12CC3CC(CC(C3)C1)C2,0.1407035175879397,0.11064144,99.6593578308174,84.31063,0.1540118998010572
C=CC(=O)OCCCC(F)C(CF)C(F)C(F)C(F)(F)C(F)(F)C(F)(F)F,0.1457286432160804,0.14257365,102.22502492417908,100.61419,0.015757744030139676
C=CC(=O)OCCCCCCCCCC,0.15075376884422112,0.140165,104.79069201754079,99.38441,0.05159127084663979
C=CC(=O)OC12CC3CC(CC(C3)C1C)C2,0.15577889447236182,0.11237503,107.35635911090247,85.19575,0.20642104407174974
C=CC(=O)OCCCCCCCCCCCCO,0.19597989949748745,0.15489519,127.88169585779602,106.90517,0.1640307402174685
C=CC(=O)OCCCCCCCCCCC,0.20100502512562815,0.14796531,130.4473629511577,103.367,0.2075961182608225
C=CC(=O)OCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,0.21608040201005024,0.24514368,138.14436423124278,152.98314,0.10741498496459995
C=CC(=O)Oc1ccccc1C(=O)c1ccccc1,0.22110552763819097,0.14860561,140.71003132460447,103.69391,0.2630666931471687
C=CC(=O)OCCCCCCCCCCCCC(C)C,0.22613065326633167,0.19064158,143.27569841796617,125.15612,0.12646651398490813
C=CC(=O)OCCC(F)C(F)C(F)C(F)C(C)(F)C(F)C(CF)C(F)C(F)F,0.23115577889447236,0.17881837,145.84136551132787,119.119576,0.1832250398722716
C=CC(=O)OCCCOc1ccc(-c2ccccc2)cc1,0.23618090452261306,0.2063627,148.40703260468953,133.18282,0.10258420228294929
C=CC(=O)OCCCCOc1ccccc1Cc1ccccc1,0.25125628140703515,0.2247538,156.10403388477462,142.57272,0.08668136344311667
C=CC(=O)OCCc1ccc(N(CC)CC)cc1,0.2562814070351759,0.17293233,158.66970097813632,116.11435,0.2682008685373763
C=CC(=O)OCCCCCCCCCCCCCCCCCCBr,0.2613065326633166,0.2629226,161.23536807149802,162.06049,0.005117473778953046
C=CC(=O)OCCCCCCCCCCOc1ccccc1,0.2663316582914573,0.2106139,163.8010351648597,135.35335,0.1736722076139986
C=CC(=O)OCCCCCCOc1ccc(-c2ccc(C3CCC(CCCO)CC3)cc2)cc1,0.2864321608040201,0.31759748,174.0637035383065,189.97571,0.09141483345494955
C=CC(=O)OCCCCCCCCCCCCCCCC(C)C,0.2964824120603015,0.19790652,179.19503772502986,128.86537,0.28086528879308514
C=CC(=O)OC(C)CCCCCCCCCCCCCCCCCC,0.30150753768844224,0.24235082,181.76070481839156,151.55719,0.16617186265405123
C=CC(=O)OCCCCCCCCCCCCCCCCCBr,0.3065326633165829,0.26909333,184.32637191175326,165.21106,0.10370362169658644
