,y,pred
0,0.03902933,0.011579201
1,0.042829882,0.031874172
2,0.044065844,0.01692016
3,0.04625895,0.032491527
4,0.047855835,0.04526557
5,0.04964231,0.051263258
6,0.0523801,0.042848002
7,0.055267807,0.04618753
8,0.056474134,0.08889966
9,0.057279013,0.025543673
10,0.057590276,0.053786505
11,0.06147097,0.06002842
12,0.062034376,0.071049616
13,0.063751504,0.07830788
14,0.0641378,0.06648399
15,0.06471911,0.07754466
16,0.064732134,0.05974888
17,0.06551271,0.056644842
18,0.067138955,0.070086665
19,0.067228265,0.11713608
20,0.070232935,0.06777348
21,0.070323735,0.06833361
22,0.070507236,0.09582469
23,0.07171637,0.07610573
24,0.07240957,0.10597667
25,0.073237546,0.103965946
26,0.0756184,0.07306686
27,0.07776263,0.05581934
28,0.07935171,0.10507916
29,0.08055668,0.12111181
30,0.080940254,0.132505
31,0.081427366,0.05784258
32,0.083768554,0.12962288
33,0.084170446,0.1368699
34,0.084432006,0.08007421
35,0.085390076,0.12899442
36,0.085444525,0.08926647
37,0.08550956,0.116477236
38,0.08786674,0.043174595
39,0.08869626,0.09165362
40,0.089135095,0.09376932
41,0.08970286,0.08525186
42,0.089711696,0.09802224
43,0.09359777,0.15575641
44,0.09425373,0.018182617
45,0.094318956,0.094383955
46,0.098449044,0.08627482
47,0.09847361,0.12235998
48,0.10109743,0.1193035
49,0.10120632,0.12027421
50,0.101294845,0.079675324
51,0.10244814,0.09219169
52,0.102852814,0.12193353
53,0.10440973,0.07729292
54,0.10447798,0.09498226
55,0.104948595,0.12867133
56,0.106839135,0.12900767
57,0.106902085,0.074759156
58,0.1070826,0.13366202
59,0.10708847,0.1277973
60,0.10745489,0.09407838
61,0.10746115,0.12711507
62,0.10850439,0.13051379
63,0.11023808,0.12217186
64,0.11156565,0.11880302
65,0.11210982,0.10839749
66,0.116207115,0.15690482
67,0.116363294,0.16227871
68,0.11703474,0.13072881
69,0.11739528,0.1737481
70,0.11742217,0.10016045
71,0.11909094,0.08595505
72,0.11932104,0.15437388
73,0.122780085,0.14800353
74,0.12321622,0.13600996
75,0.12679234,0.09122448
76,0.12713166,0.14459315
77,0.1279712,0.11656062
78,0.12854253,0.14847195
79,0.12935871,0.18248862
80,0.13080783,0.14977351
81,0.13126132,0.13596517
82,0.13202503,0.1217613
83,0.13680238,0.1509184
84,0.1376738,0.13076225
85,0.13798931,0.16336271
86,0.13956666,0.15803489
87,0.13960008,0.12718159
88,0.14064384,0.15341195
89,0.14080691,0.15402198
90,0.14095116,0.18035203
91,0.14142805,0.12357061
92,0.14212401,0.14515525
93,0.14281133,0.15647295
