id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,static_polarizability_original
3022436,,C=CC(=O)OCC(C)CCCCCCC,,1,199.993206123,237.301330539,242.064248333,0.25005164540541763,homopoly,226.45292833166664
71375967,,C=CC(=O)OCCCCOc1ccc(C(=O)c2ccccc2)cc1,,0,265.369954785,145.952797766,136.603552218,0.19489962773346564,monomer,182.64210158966668
70480932,,C=CC(=O)OC1CC2(C)CCC1C2(C)C,,0,125.225433974,89.1986571778,108.704817915,0.1005695966859046,monomer,107.7096363556
21871648,,C=CC(=O)Oc1ccccc1O,,1,96.858527113,214.998519533,195.207658386,0.1777531836663358,homopoly,169.021568344
129858029,,C=CC(=O)ON=[N+]=[N-],,2,120.922770263,204.715201409,234.866598267,0.20017775001910978,homopoly,186.83485664633332
3022441,,C=CC(=O)OCC(C)CCCCCCCCCCCC,,2,604.118251105,610.640376882,634.017917558,0.7407655761236606,homopoly,616.2588485150001
129762066,,C=CCc1nnnn1OC(=O)C=C,,0,59.4794567954,63.6172633274,113.811284103,0.06438937046400117,monomer,78.96933474193334
13643270,,C=CC(=O)OC(COc1ccc(C(=O)c2ccccc2)c(O)c1)COc1ccc(C(=O)c2ccccc2)c(O)c1,,1,659.152402448,448.290369806,782.53821354,0.7580558837619865,homopoly,629.9936619313333
76599744,,C=CC(=O)OCC=CC(F)(C(F)(F)F)C(F)(F)F,,2,405.142909876,298.659760895,315.931738221,0.3928808942905093,homopoly,339.911469664
17111,,C=CC(=O)OCCN(C)C,,0,74.0170436761,54.0916463571,71.8406653803,0.04888069217593662,monomer,66.64978513783332
69237271,,C=CC(=O)Oc1cccc2c3ccccc3n(CCO)c12,,2,705.000776921,597.774572379,717.680238745,0.8128059543435852,homopoly,673.485196015
17259,,C=CC(=O)OCCCCCC,,0,64.488985333,81.2915373224,90.1734471599,0.06398903621955057,monomer,78.65132327176667
543282,,C=CC(=O)OC(CCC)CCCCCCCCC,,2,566.895790244,551.970432168,532.394834837,0.6578836455517506,homopoly,550.4203524163332
