id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,static_polarizability_original
75617,67889,C=CC(=O)OCC1=CC=CC=C1,C=CC(=O)OCC(F)(F)F,2,336.2166355,225.301256586,240.587013611,0.6266051154850326,copoly,267.368301899
8846,75617,CCCCOC(=O)C=C,C=CC(=O)OCC1=CC=CC=C1,2,307.523617894,249.909631558,347.484866174,0.7290612513553869,copoly,301.6393718753333
75617,13774217,C=CC(=O)OCC1=CC=CC=C1,C=CC(=O)OC1=CC=C(C=C1)Br,2,239.359101049,388.933664775,436.481638415,0.888362353199931,copoly,354.924801413
8821,75617,CCOC(=O)C=C,C=CC(=O)OCC1=CC=CC=C1,2,295.876437932,268.790861962,238.796696782,0.6279594862910873,copoly,267.8213322253334
8821,67889,CCOC(=O)C=C,C=CC(=O)OCC(F)(F)F,4,371.569416002,372.007685324,356.363834464,0.9234067500937395,copoly,366.64697859666666
8821,67889,CCOC(=O)C=C,C=CC(=O)OCC(F)(F)F,2,182.954850035,179.565141165,187.107851032,0.3750049141453241,copoly,183.209280744
8821,7294,CCOC(=O)C=C,COC(=O)C=C,2,138.383182869,169.8727924,188.755142483,0.32257092948422184,copoly,165.670372584
39485,13774217,C=CC(=O)OCCOC1=CC=CC=C1,C=CC(=O)OC1=CC=C(C=C1)Br,2,298.151125282,390.38852267,433.612419535,0.9455407417136266,copoly,374.05068916233336
8821,7294,CCOC(=O)C=C,COC(=O)C=C,4,332.86597847,328.786439952,324.131287062,0.8096459920462875,copoly,328.59456849466665
7294,15621059,COC(=O)C=C,C=CC(=O)OCC1=CC=C(C=C1)C2=CC=CC=C2,2,502.179470171,304.634275617,305.193637216,0.9354312900928681,copoly,370.669127668
67889,15621059,C=CC(=O)OCC(F)(F)F,C=CC(=O)OCC1=CC=C(C=C1)C2=CC=CC=C2,2,428.403917452,315.814461534,396.165291096,0.9637090252824168,copoly,380.1278900273333
39485,67889,C=CC(=O)OCCOC1=CC=CC=C1,C=CC(=O)OCC(F)(F)F,2,289.271924819,343.626625998,234.891054832,0.6920616900587959,copoly,289.263201883
8846,7294,CCCCOC(=O)C=C,COC(=O)C=C,2,193.775508724,212.06868687,186.322834499,0.41739636184266704,copoly,197.389010031
67889,13774217,C=CC(=O)OCC(F)(F)F,C=CC(=O)OC1=CC=C(C=C1)Br,2,190.683827843,329.042463045,311.382231792,0.6555080018397537,copoly,277.0361742266667
7294,13774217,COC(=O)C=C,C=CC(=O)OC1=CC=C(C=C1)Br,2,211.943780664,293.374307224,257.882094648,0.5878355098581429,copoly,254.40006084533331
8846,8821,CCCCOC(=O)C=C,CCOC(=O)C=C,2,205.189062857,233.493167431,202.76527239,0.4665056815342786,copoly,213.815834226
8846,39485,CCCCOC(=O)C=C,C=CC(=O)OCCOC1=CC=CC=C1,2,287.050795279,338.470193153,337.862356931,0.7873234291996752,copoly,321.12778178766666
7294,67889,COC(=O)C=C,C=CC(=O)OCC(F)(F)F,4,312.70339506,370.086138077,312.866701093,0.8194842331369283,copoly,331.88541141
