,y,pred
0,0.2282783,0.25075084
1,0.22832851,0.2702942
2,0.22852525,0.27185848
3,0.22867952,0.24282888
4,0.22908252,0.26537862
5,0.2291046,0.24649385
6,0.22932175,0.27760288
7,0.22936808,0.29843515
8,0.22950919,0.2591845
9,0.22969863,0.28212768
10,0.23042512,0.26260066
11,0.23071906,0.27031672
12,0.23115213,0.24438097
13,0.23117323,0.24852169
14,0.23147355,0.2602826
15,0.23169793,0.27376077
16,0.2323085,0.26330155
17,0.23275086,0.30188957
18,0.23290302,0.2695331
19,0.23294199,0.28958285
20,0.2333917,0.23957738
21,0.23356897,0.25853172
22,0.23371452,0.26902464
23,0.23391083,0.3078504
24,0.23406278,0.26756358
25,0.23409306,0.2958014
26,0.2345415,0.25632256
27,0.23485504,0.25198656
28,0.2355803,0.2547872
29,0.23568985,0.2629102
30,0.23575823,0.298508
31,0.23594214,0.2558117
32,0.23639745,0.253662
33,0.23650004,0.28645033
34,0.2365774,0.2544251
35,0.23665285,0.26218775
36,0.2366905,0.27018526
37,0.23673354,0.26463357
38,0.23685893,0.2517971
39,0.23795268,0.24907243
40,0.23799735,0.26322082
41,0.2385863,0.2655114
42,0.23887473,0.25261903
43,0.23964606,0.2645232
44,0.23973595,0.28530145
45,0.2398809,0.3075205
46,0.24008362,0.27215704
47,0.24020576,0.23662172
48,0.24047425,0.26714528
49,0.24075915,0.28326938
50,0.24076374,0.2910704
51,0.24077626,0.24571168
52,0.24099578,0.2915603
53,0.2410199,0.27257454
54,0.24118303,0.2662323
55,0.24119276,0.25438845
56,0.24137007,0.27842027
57,0.24174955,0.27204442
58,0.24179037,0.26012367
59,0.24183549,0.2499981
60,0.24191378,0.33504558
61,0.24258102,0.26470748
62,0.24262042,0.26360437
63,0.242881,0.28360343
64,0.24295583,0.2810412
65,0.24336368,0.27931035
66,0.2436103,0.24495079
67,0.2438158,0.28665257
68,0.24428506,0.24396124
69,0.24434502,0.25599092
70,0.2446564,0.2707544
71,0.24479736,0.2510691
72,0.24505816,0.29100206
73,0.24511252,0.2792008
74,0.24543841,0.2662762
75,0.24551305,0.2689918
76,0.2461062,0.27000055
77,0.24616697,0.26919186
78,0.24642597,0.27403763
79,0.246607,0.3000669
80,0.24661551,0.2758332
81,0.24669164,0.37955567
82,0.24796006,0.24191125
83,0.24803953,0.2523339
84,0.24831074,0.26983976
85,0.24915645,0.30938506
86,0.2494791,0.27528295
87,0.24969415,0.26382315
88,0.25013888,0.3109136
89,0.25039715,0.24093978
90,0.25050306,0.27564374
91,0.25066277,0.31530914
92,0.25078717,0.2879339
93,0.2508754,0.27091724
94,0.25101128,0.29876214
95,0.25144622,0.25030193
96,0.25156686,0.2640544
97,0.25162962,0.2699216
98,0.2517451,0.27546838
99,0.2517493,0.28476873
100,0.2518036,0.24901313
101,0.2518435,0.31351978
102,0.2519729,0.26913762
103,0.25204483,0.2947373
104,0.2521362,0.2758546
105,0.25231102,0.26015073
106,0.2523924,0.26675224
107,0.2524562,0.27433848
108,0.2525396,0.273042
109,0.25307056,0.272298
110,0.25341505,0.26890332
111,0.25352865,0.28041372
112,0.25357413,0.2520095
113,0.2536604,0.24432299
114,0.2541955,0.29818135
115,0.25445643,0.24289906
116,0.25463727,0.24913841
117,0.25478855,0.28653273
118,0.2551123,0.27264458
119,0.2555434,0.26490554
120,0.2558295,0.2741709
121,0.2558311,0.27018774
122,0.25584134,0.3022216
123,0.25586474,0.28358537
124,0.2560604,0.25705862
125,0.25606108,0.25822246
126,0.25613227,0.27743357
127,0.2561421,0.26759815
128,0.2561637,0.29675174
129,0.25621855,0.27635145
130,0.25655645,0.28220314
131,0.25668517,0.25921074
132,0.25674713,0.26446322
133,0.2568719,0.28780413
134,0.25697103,0.29707608
135,0.25736815,0.28709817
136,0.2574093,0.29152513
137,0.2576102,0.27663207
138,0.2576464,0.2705
139,0.25775516,0.2800517
140,0.25822783,0.27195215
141,0.25845772,0.2800752
142,0.25862616,0.31694296
143,0.25876114,0.29396933
144,0.25880694,0.25827193
145,0.25883633,0.28283265
146,0.2590272,0.24955955
147,0.25927112,0.28718367
148,0.25930786,0.29475018
149,0.2593584,0.25009662
150,0.25953856,0.273544
151,0.2598217,0.25553927
152,0.2600952,0.2890729
153,0.26035762,0.28270054
154,0.26042637,0.2915887
155,0.2609299,0.27459818
156,0.26112336,0.3964581
157,0.26116744,0.28065363
158,0.26122537,0.25735718
159,0.2618234,0.29049256
160,0.26226708,0.27103272
161,0.26230577,0.3100331
162,0.26267856,0.27004358
163,0.26314503,0.3031144
164,0.26327989,0.28008613
165,0.26329023,0.2458055
166,0.2633325,0.27578112
167,0.26340118,0.27488318
168,0.2638383,0.27640796
169,0.2640816,0.2606344
170,0.26417676,0.27251387
171,0.26459932,0.2715618
172,0.26486427,0.2383835
173,0.2649365,0.26582032
174,0.26516324,0.25526953
175,0.26533318,0.28913033
176,0.26576287,0.26211667
177,0.2657987,0.27914053
178,0.26581514,0.28634962
179,0.26597008,0.26336795
180,0.26606226,0.30620417
181,0.26608092,0.34643137
182,0.26608765,0.27590662
183,0.26625392,0.30282497
184,0.26648948,0.27309895
185,0.26695487,0.30876616
186,0.26725498,0.28702104
187,0.267279,0.24275526
188,0.2675167,0.26354912
189,0.26752815,0.27872968
190,0.26768175,0.26649126
191,0.26805985,0.27164719
192,0.26814553,0.29419118
193,0.2681665,0.2569095
194,0.268336,0.26141912
195,0.26847044,0.28144485
196,0.26865825,0.3026748
197,0.26884502,0.25564954
198,0.26901266,0.2906787
199,0.26901293,0.27237427
200,0.26905286,0.2824772
201,0.26918146,0.2699272
202,0.26968622,0.2913029
203,0.26988232,0.27052614
204,0.27008012,0.31285703
205,0.27047172,0.2956633
206,0.2710163,0.29137528
207,0.27110028,0.29342672
208,0.27126485,0.27365378
209,0.27151644,0.30514592
210,0.27223408,0.31482
211,0.2722506,0.28308284
212,0.27228105,0.3400439
213,0.27302513,0.30545565
214,0.27307433,0.2927479
215,0.27309474,0.291526
216,0.27341875,0.28448492
217,0.27362463,0.2954568
218,0.27369753,0.31374377
219,0.27376187,0.2845314
220,0.27391472,0.26960692
221,0.2739537,0.2959427
222,0.27452928,0.28839543
223,0.27456942,0.31786925
224,0.2746154,0.25286612
225,0.2748787,0.2887994
226,0.27487904,0.31019825
227,0.27490744,0.2890287
228,0.2749295,0.2810647
229,0.2753361,0.32092404
230,0.2757806,0.25415683
231,0.27581227,0.30291384
232,0.27609888,0.28827053
233,0.27661392,0.28435096
234,0.27661434,0.26117954
235,0.2768442,0.29717207
236,0.27684832,0.25224614
237,0.27685735,0.31641182
238,0.27688494,0.2783341
239,0.2769071,0.27288178
240,0.2769119,0.30810767
241,0.27698895,0.2823848
242,0.2772008,0.292264
243,0.27722332,0.33018297
244,0.27735305,0.3251593
245,0.27743882,0.27334315
246,0.277574,0.27780735
247,0.2781092,0.28455585
248,0.2781128,0.25921592
249,0.2781193,0.30154526
250,0.27812555,0.26230007
251,0.27830142,0.27899998
252,0.27830294,0.29492316
253,0.27841634,0.265273
254,0.27851164,0.34637037
255,0.27894235,0.29709885
256,0.27914166,0.33577058
257,0.27919543,0.31094244
258,0.27920336,0.2892143
259,0.27928478,0.28023311
260,0.27940536,0.27907404
261,0.27960333,0.27684432
262,0.279758,0.26981467
263,0.2797714,0.32446614
264,0.27998412,0.2983149
265,0.27999267,0.30096847
266,0.28009006,0.27039716
267,0.2801215,0.28223377
268,0.28019112,0.30385166
269,0.28044495,0.27853894
270,0.28062186,0.27598482
271,0.28076443,0.30780396
272,0.28076753,0.2794449
273,0.2807863,0.30383885
274,0.28081834,0.30813253
275,0.28086892,0.31007296
276,0.28096363,0.28586626
277,0.28097025,0.27819845
278,0.281187,0.2548024
279,0.28119487,0.27119586
280,0.2813241,0.2791251
281,0.28167102,0.3069336
282,0.28174645,0.28952944
283,0.28188735,0.29956195
284,0.2820244,0.27789736
285,0.28203616,0.26828238
286,0.28208923,0.2847892
287,0.28210795,0.26313734
288,0.2821285,0.28318375
289,0.28220946,0.28190216
290,0.28281474,0.28193825
291,0.28288364,0.28933272
292,0.28304785,0.26904058
293,0.28319097,0.27604833
294,0.28319857,0.26828003
295,0.28388864,0.28486896
296,0.28410703,0.31382132
297,0.2841912,0.30115187
298,0.28421885,0.29639512
299,0.284232,0.28694645
300,0.28425205,0.28945777
301,0.28435528,0.3210169
302,0.28441575,0.28920308
303,0.2845353,0.29282078
304,0.2845567,0.32890692
305,0.28463393,0.2700565
306,0.28463465,0.27399743
307,0.28468964,0.316137
308,0.2847322,0.3346653
309,0.28474632,0.34342074
310,0.28489786,0.29656544
311,0.28497902,0.30955923
312,0.2850598,0.30899656
313,0.2851668,0.30350414
314,0.28520828,0.43728384
315,0.2852798,0.29833907
316,0.28530836,0.28829533
317,0.28540543,0.29516292
318,0.2856731,0.3033495
319,0.28572068,0.30497557
320,0.28614235,0.28900504
321,0.28618437,0.27123606
322,0.28623524,0.30074376
323,0.28636405,0.27123362
324,0.28688037,0.43601495
325,0.28694612,0.3118933
326,0.2869678,0.31170872
327,0.2869838,0.2862885
328,0.28700912,0.2967584
329,0.28723472,0.29820696
330,0.28727084,0.30545616
331,0.28728166,0.30039898
332,0.28728402,0.28382152
333,0.2873327,0.3236916
334,0.28736928,0.26313394
335,0.28742513,0.2819163
336,0.2875097,0.3458158
337,0.28759846,0.27552843
338,0.2876193,0.27180555
339,0.28764442,0.27257305
340,0.28775287,0.28593615
341,0.28775814,0.27095732
342,0.28809035,0.2764117
343,0.28826663,0.294902
344,0.2884622,0.2668094
345,0.28853226,0.3053782
346,0.28864995,0.29726127
347,0.28867668,0.3103692
348,0.28878996,0.28997347
349,0.28893656,0.29660076
350,0.289422,0.3065414
351,0.2894921,0.2969195
352,0.28966758,0.30547348
353,0.2899029,0.29530984
354,0.29010066,0.28131086
355,0.2902138,0.30088922
356,0.29023603,0.2717157
357,0.29059374,0.30370796
358,0.29068667,0.29154634
359,0.291084,0.26096216
360,0.2917627,0.2758277
361,0.29208305,0.23591352
362,0.29222205,0.29296649
363,0.29262066,0.28708482
364,0.29267108,0.30745924
365,0.29268104,0.28832093
366,0.2927939,0.32355845
367,0.2928135,0.29937652
368,0.29281422,0.30042168
369,0.29295814,0.27308404
370,0.29317394,0.29270136
371,0.2932099,0.31353498
372,0.29348555,0.3076459
373,0.29358625,0.3241414
374,0.29465568,0.29050428
375,0.29473117,0.32280016
376,0.2948813,0.33950514
377,0.29490817,0.29923955
378,0.29560146,0.31319505
379,0.29566935,0.3063031
380,0.29572752,0.32649523
381,0.29582146,0.34195036
382,0.29582444,0.3340643
383,0.29583758,0.28922918
384,0.29614258,0.29165387
385,0.29617205,0.30131677
386,0.29621032,0.313814
387,0.29625654,0.34392303
388,0.29638544,0.34045276
389,0.29645398,0.29465836
390,0.2964572,0.29305565
391,0.29656523,0.30621526
392,0.29683098,0.32644743
393,0.29684028,0.30294752
394,0.29687443,0.279392
395,0.29699227,0.33282968
396,0.29721025,0.28578255
397,0.29730564,0.33404514
398,0.2973957,0.29468092
399,0.29746583,0.34006822
400,0.29749417,0.32787085
401,0.2976152,0.30944842
402,0.29793546,0.30177402
403,0.2979681,0.32368037
404,0.298262,0.30071867
405,0.29869512,0.30040944
406,0.29876322,0.3084233
407,0.29893324,0.346553
408,0.29898587,0.3299628
409,0.2992435,0.2626223
410,0.29926392,0.32194272
411,0.29928726,0.2907231
412,0.2993142,0.30416414
413,0.29936847,0.2671094
414,0.29960456,0.2831579
415,0.29977876,0.2801764
