id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,static_polarizability_original
19779557,2777443,C=CC(=O)Oc1cccs1,C=CC(=O)OCc1cccc(C(F)(F)F)c1,1,163.204132412,179.525725802,161.476812263,0.6378890490967868,copoly,168.068890159
251817,88157728,C=CC(=O)Oc1ccccc1C,C=CC(=O)OC(=O)[C@@H](N)CO,1,145.284690849,181.120541402,120.598557434,0.5109522782812369,copoly,149.00126322833333
181508,85486,C=CC(=O)ON1C(=O)CCC1=O,C=CC(=O)OCC(F)([N+](=O)[O-])[N+](=O)[O-],1,132.042635618,160.449750395,135.087961813,0.46785044575867174,copoly,142.52678260866665
13550,19989416,C=CC(=O)OCCC,C=CC(=O)ON1CCOCC1,1,116.561818895,135.608126745,115.114728103,0.3340505731600656,copoly,122.428224581
81865,131697901,C=CC(=O)OCC(F)(F)C(F)F,C=CC(=O)Oc1cc(C(F)(F)F)cc(C(F)(F)F)c1,1,206.270280897,128.124818158,140.263813206,0.5723207252493239,copoly,158.21963742033333
21646008,11816169,C=CC(=O)OOCCC,C=CC(=O)OC(C)c1ccccc1,1,188.782167308,159.430516407,112.577341167,0.5415447965841891,copoly,153.59667496066666
18628414,44607774,C=CC(=O)OOOC(=O)C=C,C=CC(=O)OCC(C#N)OCC,1,154.812988553,121.128389113,145.892079378,0.45509773561546607,copoly,140.611152348
80995,82699,C=CC(=O)OCCN1CC1,C=CC(=O)OCc1ccco1,1,115.661956495,132.569752413,160.274983029,0.42552481018447097,copoly,136.16889731233334
90558,75282,C=CC(=O)OCCC(=O)O,C=CC(=O)OCCOC(=O)C=C,1,133.217980182,123.188194136,130.713091139,0.3780647729304404,copoly,129.03975515233333
53685801,22065604,C=CC(=O)OC=CCC,C=CC(=O)OCCCOC,1,126.674251068,127.824211626,135.18787918,0.38376127608376254,copoly,129.89544729133334
19779557,76709,C=CC(=O)Oc1cccs1,C=CC(=O)Oc1ccc(O)cc1,1,200.524692349,89.4552100274,183.904110079,0.570601174106679,copoly,157.96133748513333
138402884,21649872,C=CC(=O)OCC/C=C\C,C=CC(=O)OCc1ccncc1,1,144.221098182,175.344726366,135.767785515,0.5294366707736649,copoly,151.777870021
83092,137331643,C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,C=CC(=O)OP(OC(=O)C=C)OC(=O)C=C,1,151.339465465,159.82687171,173.715898148,0.5950069186460016,copoly,161.62741177433332
18469777,11378874,C=CC(=O)OOC,C=CC(=O)OCOP(=O)(O)O,1,88.3025763517,106.949608823,107.038505789,0.1898248596606925,copoly,100.76356365456668
22065604,44607774,C=CC(=O)OCCCOC,C=CC(=O)OCC(C#N)OCC,1,144.895569788,142.170633977,129.59705393,0.4436247398371398,copoly,138.887752565
14454815,18629896,C=CC(=O)OC1CCCO1,C=CC(=O)Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,115.374860209,177.176059469,230.041753338,0.6786887388710396,copoly,174.19755767200002
13550,251817,C=CC(=O)OCCC,C=CC(=O)Oc1ccccc1C,1,161.647712529,110.697184591,148.012320346,0.4518218676454103,copoly,140.11907248866666
11378874,129815894,C=CC(=O)OCOP(=O)(O)O,C=CC(=O)OC(O)=C1C=CC=C1,1,186.979436723,154.386372118,104.966497154,0.509462213968325,copoly,148.77743533166665
