id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type
3022436,,CCCCCCCC(C)COC(=O)C=C,,1,247.348401047,207.02809487,217.042697455,223.80639779066667,homopoly
71375967,,C=CC(=O)OCCCCOC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,,0,183.675157075,216.555146728,163.407859891,187.879387898,monomer
70480932,,CC1(C2CCC1(CC2OC(=O)C=C)C)C,,0,117.915784229,100.421024652,104.799285695,107.71203152533333,monomer
21871648,,C=CC(=O)OC1=CC=CC=C1O,,1,157.344366765,153.940448589,187.259106796,166.18130738333332,homopoly
129858029,,C=CC(=O)ON=[N+]=[N-],,2,243.974472883,196.405175496,131.57041583,190.65002140299998,homopoly
3022441,,CCCCCCCCCCCCC(C)COC(=O)C=C,,2,596.633425799,608.045219304,649.918981468,618.199208857,homopoly
129762066,,C=CCC1=NN=NN1OC(=O)C=C,,0,59.4794567954,63.6172633274,113.811284103,78.96933474193334,monomer
13643270,,C=CC(=O)OC(COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O)COC3=CC(=C(C=C3)C(=O)C4=CC=CC=C4)O,,1,632.973408761,633.500555889,636.112098503,634.1953543843333,homopoly
76599744,,C=CC(=O)OCC=CC(C(F)(F)F)(C(F)(F)F)F,,2,374.461125571,330.666807686,281.760448343,328.9627938666667,homopoly
17111,,CN(C)CCOC(=O)C=C,,0,49.144499063,66.3786019261,86.7053593248,67.4094867713,monomer
18979434,,C=CC(=O)OCCCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3CCC(CC3)CCC4OCCO4,,2,943.948831238,1156.98792692,1407.66468732,1169.5338151593332,homopoly
69237271,,C=CC(=O)OC1=CC=CC2=C1N(C3=CC=CC=C23)CCO,,2,833.931472851,646.703421147,609.29629883,696.6437309426666,homopoly
17259,,CCCCCCOC(=O)C=C,,0,83.9362559951,88.232586963,62.5328487753,78.23389724446668,monomer
543282,,CCCCCCCCCC(CCC)OC(=O)C=C,,2,594.968507909,525.702624068,540.816527778,553.8292199183334,homopoly
105239,,CN(CCOC(=O)C=C)S(=O)(=O)CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,147.625583374,119.644343468,182.10681299,149.79224661066667,monomer
3083883,,C=CC(=O)OC(C(C(C(C(C(C(C(C(C(CF)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,,0,104.973248126,128.207430451,160.184024696,131.12156775766667,monomer
68055331,,C=CC(=O)OC1=C(C(=C(C=C1)F)F)F,,2,393.10118208,365.311586914,250.222440469,336.21173648766666,homopoly
59641530,,C=CC(=O)OCC1COC2(O1)CCCCC2,,2,404.531411994,418.505801924,450.142480559,424.3932314923333,homopoly
9942853,,CC(COC(C)COC(=O)C=C)OC(=O)C=C,,1,269.122113714,213.645268688,181.46115426,221.40951222066667,homopoly
20973,,CSCCOC(=O)C=C,,1,104.588009914,144.130461288,139.988165053,129.56887875166666,homopoly
20963,,C=CC(=O)OCCBr,,0,29.7517121141,70.9951367268,66.083159364,55.61000273496666,monomer
21932355,,CC(C(C(C(OC(=O)C=C)(F)F)(F)F)(F)F)(F)F,,2,263.023514405,301.343302164,315.414296086,293.260370885,homopoly
54033718,,CCCCC(CN1C=NC=N1)(COC(=O)C=C)C2=CC=C(C=C2)Cl,,0,172.624199625,190.803754591,160.48617593,174.63804338199998,monomer
10154104,,C=CC(=O)OCCOC=C,,2,277.858249526,262.27198901,245.903980349,262.011406295,homopoly
15621063,,C=CC(=O)OCC1=CC=C(C=C1)CC2=CC=CC=C2,,2,566.222667082,510.226464628,617.7344961,564.7278759366667,homopoly
140350948,,C=CC(=O)OOC(=O)OOC(=O)C=C,,1,132.637486406,147.952890158,169.966827035,150.185734533,homopoly
23513520,,C=CC(=O)OCCC1=CC=CC2=CC=CC=C21,,0,182.755152774,92.3934910712,135.063503181,136.73738234206667,monomer
11378874,,C=CC(=O)OCOP(=O)(O)O,,0,49.8446276053,58.7222992326,67.9056963339,58.824207723933334,monomer
3022440,,CCCCCCCCCCCC(C)COC(=O)C=C,,1,281.2764122,293.099903082,305.649695152,293.342003478,homopoly
21401083,,C=CC(=O)OC(O)C(O)CO,,1,141.11474102,111.331516503,116.894474629,123.113577384,homopoly
3023749,,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,,0,276.373828581,250.183077789,265.267222938,263.941376436,monomer
129847753,,CC1=NN(C=C1OC(=O)C=C)C,,1,128.728983697,169.813670104,191.844537603,163.46239713466667,homopoly
137530330,,CC(C)(C)N(CC1=C(C(=CC(=C1)C=O)OC)OC(=O)C=C)C(C)(C)C,,2,811.783379825,620.884067861,863.921271239,765.529572975,homopoly
134767817,,C[C@H]1CC[C@@H]([C@H](C1)OC(=O)C=C)C(C)(C)C2=CC=C(C=C2)OC,,1,367.931975327,354.261591781,334.201679572,352.1317488933334,homopoly
18546535,,CSCCCSCCCOC(=O)C=C,,0,106.833701135,106.825931038,114.752628979,109.47075371733332,monomer
543282,,CCCCCCCCCC(CCC)OC(=O)C=C,,0,132.13045527,147.842831897,135.02199395,138.33176037233332,monomer
21318160,,CCC(C)(C)C1=CC=C(C=C1)OC(=O)C=C,,2,609.723181213,402.748501803,495.033776186,502.50181973400004,homopoly
81530,,C=CC(=O)OCC,,2,195.408142122,175.277233995,170.289967527,180.325114548,homopoly
11253685,,CC(C)(C12CC3CC(C1)CC(C3)C2)OC(=O)C=C,,2,528.199503145,504.444185984,538.239776611,523.6278219133334,homopoly
85416,,C=CC(=O)OCCOC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,,2,742.102339792,665.723996654,610.693128214,672.8398215533333,homopoly
