id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type
5373059,170984109,CCOC(=O)/C=C/C1=CC=C(C=C1)F,C=CC1=CC=CC=C1OC(=O)C2=CO2,1,223.271168286,186.69724568,191.962240649,200.64355153833333,copoly
10774171,129773825,COC1=NC=C(C=N1)/C=C/C(=O)OC,C=CC(=O)OCC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,1,159.667046719,224.669285237,350.774837788,245.03705658133333,copoly
21909953,637541,C=CC(=O)OF,C1=CC(=CC(=C1)O)/C=C/C(=O)O,1,58.0768571375,151.85926975,127.182380851,112.37283591283334,copoly
53413490,2496930,CCOC(=O)C=CC1=CC(=NC=C1)Cl,CC1=C(C(=CC=C1)C)OC(=O)/C=C/C2=CC=CO2,1,214.501070635,219.400929399,257.436817773,230.44627260233332,copoly
20566720,53739964,C=CC(=O)OCCCOC1=CC=C(C=C1)O,COC(=O)C(=CN1CCCC1)C(=O)C2=CC(=C(C=C2Cl)Cl)F,1,335.015874857,276.184085362,200.813212605,270.671057608,copoly
21618589,53253389,CC1(CCCC(N1OC(=O)C=C)(C)C)C,CC(C)(C)OC(=O)C(=C(SC)SC)C#N,1,215.130275969,219.332779488,228.558141292,221.00706558299999,copoly
92859239,91684786,CC(=O)N/C(=C\C1=C(C=CC(=C1)F)F)/C(=O)OC,C=CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=C(C=C(C=C2)Cl)Cl)I,1,407.967561131,329.189612229,245.491866895,327.54968008500003,copoly
129808889,45923553,C=CC(=O)OCC([N+](=O)[O-])[N+](=O)[O-],CC1=CC(=C(C=C1Cl)C2=CC=C(O2)/C=C/C(=O)OC)[N+](=O)[O-],1,177.314626659,353.700689041,217.161332268,249.39221598933332,copoly
139075710,91685144,CCOC(=O)/C(=C\OC1=C(C=C(C=C1)F)F)/C2=CC=C(C=C2)Cl,CCOC(=O)/C=C/C1=CC(=C(C(=C1)I)OCC2=CC=C(C=C2)Cl)OC,1,497.033167766,251.585897497,351.606669326,366.74191152966665,copoly
20669687,12363640,CN(C)CC(=C)C(=O)OC,CC(=O)C1=CC=C(O1)/C=C/C(=O)OC,1,198.645262622,136.071169591,149.872952259,161.529794824,copoly
11815329,16213776,COC(=O)C(=C)CO,COC(=O)C=C.C=CC#N,1,113.936812352,125.338316242,106.653206208,115.309444934,copoly
11030960,66726233,CC(C)(C)OC(=O)/C=C/C1=CN=CC=C1,CCOC(=O)C(=CN(C)C)N1C=CN=N1,1,200.695438121,182.440153757,222.622549774,201.91938055066666,copoly
23496545,22153329,CCCCCC(C)OC(=O)C=C,CCCOC(=O)/C=C/C1=CC=C(C=C1)O,1,223.051376091,183.929151067,153.091599348,186.6907088353333,copoly
129846645,91684818,CN(C)C(=[N+](C)C)N.C=CC(=O)[O-],C=CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC(=C(C=C2)Cl)Cl)Cl,1,272.478733856,278.535053075,301.159672202,284.05781971100004,copoly
118274619,89843276,C1=CC(=CC=C1/C=C/C(=O)OC2=CC=C(C=C2)O)C#N,CCOC(=O)/C=C/C1=CC2=C(C=C1)N=C(N(C2=O)C3=CC=CC=C3)C,1,362.366666697,278.422645639,421.423706159,354.071006165,copoly
5875469,91684599,COC(=O)/C=C/C1=CC=C(C=C1)N2C=CN=C2,CCOC(=O)/C=C/C1=CC=C(C=C1)OCC2=CN=CC=C2,1,273.879719608,333.726600949,222.261331723,276.62255076,copoly
82347,69589135,C=CC(=O)OCCCCCCO,CCOC(=O)C=CC1=CNC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,1,263.477023634,271.587857192,284.877545309,273.314142045,copoly
131743680,87216247,CCO/C=C(\C(=O)C1=NC(=CC=C1)OC)/C(=O)OCC,CC(C)(C)OC(=O)/C=C/C1=NC(=C(C=C1)NC=O)OC,1,270.957987498,337.683518696,231.165460786,279.93565566,copoly
