mape,r2,mse
5.41484,0.97377,0.00096
5.27157,0.97238,0.00101
5.38533,0.97466,0.00092
5.15381,0.97494,0.00091
5.08679,0.97557,0.00089
5.07428,0.97504,0.00091
5.26133,0.974,0.00095
5.30972,0.97296,0.00099
5.32005,0.97403,0.00095
5.1124,0.97552,0.00089
5.24878,0.97363,0.00096
5.71044,0.97233,0.00101
5.14043,0.97459,0.00093
5.30726,0.97633,0.00086
5.02667,0.97585,0.00088
5.44951,0.97402,0.00095
5.27346,0.97445,0.00093
5.25754,0.97293,0.00099
5.46678,0.97386,0.00095
5.68549,0.97435,0.00094
5.4332,0.97369,0.00096
5.07509,0.97584,0.00088
5.26073,0.9737,0.00096
5.22,0.97505,0.00091
5.0448,0.97495,0.00091
5.33555,0.97426,0.00094
5.18085,0.97483,0.00092
5.4429,0.97307,0.00098
5.05278,0.97626,0.00087
5.08093,0.97419,0.00094
5.54562,0.97219,0.00101
5.47521,0.9754,0.0009
5.2072,0.97665,0.00085
5.12542,0.97509,0.00091
5.19754,0.97485,0.00092
5.49608,0.97136,0.00104
5.21513,0.97517,0.00091
5.67441,0.97407,0.00095
5.14138,0.97482,0.00092
5.69814,0.97299,0.00098
5.0191,0.9739,0.00095
5.48901,0.97284,0.00099
5.17375,0.97518,0.00091
5.08565,0.9749,0.00092
5.24145,0.97476,0.00092
5.38267,0.97337,0.00097
5.54197,0.97368,0.00096
5.11512,0.97403,0.00095
5.57582,0.97453,0.00093
5.16978,0.97547,0.00089
5.15813,0.97486,0.00092
5.93878,0.97438,0.00093
5.26544,0.97434,0.00094
5.35226,0.97336,0.00097
5.58687,0.97405,0.00095
5.39789,0.97584,0.00088
5.1434,0.9755,0.00089
5.3453,0.97465,0.00092
4.97376,0.97497,0.00091
5.09388,0.97381,0.00095
5.20019,0.97353,0.00097
5.09973,0.97512,0.00091
4.91738,0.97401,0.00095
5.38454,0.9742,0.00094
5.52334,0.97338,0.00097
5.14017,0.97382,0.00095
5.01166,0.97473,0.00092
5.46233,0.97334,0.00097
5.39705,0.97314,0.00098
5.21182,0.97575,0.00088
5.24923,0.97479,0.00092
5.10863,0.97548,0.00089
5.11225,0.97446,0.00093
5.55663,0.97484,0.00092
5.60223,0.97473,0.00092
5.65725,0.97299,0.00098
5.57912,0.97387,0.00095
5.3456,0.97456,0.00093
5.55801,0.9731,0.00098
5.02589,0.97549,0.00089
5.25207,0.9749,0.00092
5.70332,0.97578,0.00088
5.20988,0.97468,0.00092
5.18201,0.9752,0.0009
5.54042,0.97416,0.00094
5.36462,0.97482,0.00092
5.21284,0.9739,0.00095
5.23447,0.97349,0.00097
5.5605,0.97314,0.00098
5.40254,0.97465,0.00092
5.28151,0.97525,0.0009
5.1926,0.97366,0.00096
5.49517,0.97345,0.00097
5.23672,0.97404,0.00095
5.0433,0.97607,0.00087
5.27259,0.97344,0.00097
5.27605,0.97196,0.00102
5.42332,0.97719,0.00083
5.15002,0.97468,0.00092
5.44905,0.9747,0.00092
