mape,r2,mse
12.29018,0.97147,0.00164
10.80892,0.97376,0.00151
11.9205,0.96985,0.00173
11.41435,0.97326,0.00153
10.56636,0.97449,0.00146
11.15896,0.97061,0.00169
12.92375,0.97123,0.00165
12.3257,0.96793,0.00184
11.73422,0.97285,0.00156
10.96216,0.97442,0.00147
11.09066,0.97406,0.00149
11.20252,0.97351,0.00152
11.82818,0.97123,0.00165
11.26751,0.97244,0.00158
11.54114,0.97008,0.00172
11.92316,0.97102,0.00166
11.14345,0.97302,0.00155
11.14094,0.97397,0.00149
11.93505,0.97182,0.00162
10.63269,0.97399,0.00149
12.35581,0.97167,0.00163
11.58444,0.97085,0.00167
11.67044,0.97198,0.00161
11.49508,0.97474,0.00145
10.12982,0.97449,0.00146
11.17864,0.97467,0.00145
10.83252,0.97257,0.00157
11.62158,0.97303,0.00155
11.26792,0.97137,0.00164
12.02597,0.9716,0.00163
10.84729,0.97417,0.00148
11.32136,0.97213,0.0016
11.40322,0.972,0.00161
12.21354,0.9702,0.00171
10.94567,0.97347,0.00152
11.70416,0.97033,0.0017
11.47659,0.97079,0.00168
11.22858,0.97403,0.00149
11.34914,0.97292,0.00155
11.94881,0.97175,0.00162
11.72952,0.97125,0.00165
10.63301,0.97441,0.00147
11.78184,0.97195,0.00161
11.07813,0.97103,0.00166
10.81029,0.97301,0.00155
10.44893,0.97298,0.00155
12.96264,0.97241,0.00158
11.91971,0.97353,0.00152
12.50437,0.97003,0.00172
11.27258,0.97437,0.00147
10.64386,0.97246,0.00158
11.49079,0.97297,0.00155
10.77965,0.97364,0.00151
11.15693,0.97124,0.00165
10.81689,0.97099,0.00167
10.90857,0.97361,0.00151
11.88418,0.97192,0.00161
11.83548,0.97041,0.0017
10.78822,0.97254,0.00158
11.81405,0.97005,0.00172
11.20822,0.97207,0.0016
12.09886,0.97252,0.00158
11.23254,0.97472,0.00145
12.15385,0.97337,0.00153
12.06626,0.97128,0.00165
10.61945,0.97236,0.00159
12.46524,0.97247,0.00158
10.70299,0.97381,0.0015
11.20492,0.97151,0.00164
10.40793,0.97163,0.00163
10.55402,0.97236,0.00159
11.72324,0.97097,0.00167
11.23867,0.97318,0.00154
11.83686,0.96881,0.00179
11.22415,0.97049,0.00169
11.20005,0.97192,0.00161
10.64213,0.97279,0.00156
12.91002,0.97323,0.00154
12.10526,0.97068,0.00168
12.03473,0.97294,0.00155
10.6206,0.97521,0.00142
11.14611,0.9706,0.00169
12.0634,0.97367,0.00151
11.17008,0.97255,0.00158
11.77936,0.97146,0.00164
12.14965,0.97364,0.00151
10.39274,0.97321,0.00154
11.9823,0.96987,0.00173
11.10855,0.9704,0.0017
11.34447,0.97193,0.00161
10.83446,0.97313,0.00154
12.84548,0.97179,0.00162
11.37323,0.97368,0.00151
11.56156,0.97185,0.00162
11.41568,0.97168,0.00163
12.33232,0.97236,0.00159
10.89816,0.97244,0.00158
11.20487,0.97242,0.00158
11.50681,0.97205,0.0016
11.06156,0.97217,0.0016
